idPry,titulo_proyecto,anno_inicio,duracion_meses,area_conocimiento
1,Proyecto de Energía Solar,2018,36,Energías Renovables
2,Estudio sobre Cambio Climático,2019,48,Ciencias Ambientales
3,Investigación de Inteligencia Artificial,2020,24,Informática
4,Desarrollo de Medicamentos Innovadores,2017,60,Ciencias Médicas
5,Estudio de Biodiversidad en la Amazonía,2019,42,Biología
6,Proyecto de Astronomía Espacial,2016,72,Astronomía
7,Investigación en Nanotecnología,2018,36,Nanociencia
8,Desarrollo de Energía Nuclear Segura,2017,48,Energía Nuclear
9,Estudio de Genética Humana,2020,60,Genética
10,Proyecto de Robótica Avanzada,2019,24,Robótica
11,Investigación en Neurociencia,2018,36,Neurociencia
12,Desarrollo de Inteligencia Artificial Ética,2019,48,Ética en la Tecnología
13,Estudio de la Economía Global,2017,60,Economía
14,Proyecto de Exploración Submarina,2020,36,Oceanografía
15,Investigación en Energía Eólica,2018,48,Energías Renovables
16,Desarrollo de Vacunas Innovadoras,2017,60,Inmunología
17,Estudio de Cambios Climáticos en Marte,2019,24,Planetas
18,Proyecto de Arqueología Submarina,2016,60,Arqueología
19,Investigación en Sistemas de Transporte Inteligentes,2020,36,Transporte
20,Desarrollo de Tecnología Espacial Avanzada,2018,48,Astronáutica