idPub,titulo_publicacion,anno_publicacion,nombre_revista
1,Avances en Inteligencia Artificial,2021,Revista de Ciencias de la Computación
2,Impacto del Cambio Climático,2020,Revista de Ciencias Ambientales
3,Nuevos Medicamentos para el Tratamiento del Cáncer,2019,Revista de Ciencias Médicas
4,Diversidad Biológica en la Amazonía,2022,Revista de Biología
5,Descubrimientos en la Exploración Espacial,2018,Revista de Astronomía
6,Nanotecnología en la Medicina,2021,Revista de Nanociencia
7,Seguridad en la Energía Nuclear,2019,Revista de Energía Nuclear
8,Genética Humana y sus Implicaciones,2020,Revista de Genética
9,Ética en la Inteligencia Artificial,2021,Revista de Ética en la Tecnología
10,Economía Global: Tendencias y Desafíos,2020,Revista de Economía
11,Vida Submarina: Descubrimientos en las Profundidades,2018,Revista de Oceanografía
12,Energía Eólica: Avances y Perspectivas,2019,Revista de Energías Renovables
13,Vacunas Innovadoras: Avances en Inmunología,2022,Revista de Inmunología
14,Clima en Marte: Investigación en Planetas,2018,Revista de Ciencias Planetarias
15,Arqueología Submarina: Tesoros Bajo el Mar,2017,Revista de Arqueología
16,Transporte Inteligente: Tecnologías Emergentes,2019,Revista de Transporte
17,Exploración Espacial Avanzada,2021,Revista de Astronáutica
18,Inteligencia Artificial y la Medicina,2020,Revista de Ciencias de la Computación
19,Cambios Climáticos Globales,2019,Revista de Ciencias Ambientales
20,Terapias Innovadoras para Enfermedades,2021,Revista de Ciencias Médicas
21,Ecosistemas Amazónicos en Peligro,2022,Revista de Biología
22,Misterios del Universo: Astronomía Contemporánea,2017,Revista de Astronomía
23,Nanotecnología en la Industria,2018,Revista de Nanociencia
24,Seguridad en Reactores Nucleares,2020,Revista de Energía Nuclear
25,Genómica y Medicina Personalizada,2019,Revista de Genética
26,Inteligencia Artificial Ética: Perspectivas,2021,Revista de Ética en la Tecnología
27,Economía Sostenible y Desarrollo,2018,Revista de Economía
28,Biodiversidad Marina: Descubrimientos Recientes,2022,Revista de Oceanografía
29,Energía Eólica en la Era Verde,2019,Revista de Energías Renovables
30,Vacunas Avanzadas: Inmunoterapia del Futuro,2020,Revista de Inmunología
31,Marte: Planeta en Estudio,2017,Revista de Ciencias Planetarias
32,Exploración Arqueológica Submarina,2021,Revista de Arqueología